slug,cityName,state,heroTitle,heroSub
new-york-city,New York City,NY,,
buffalo,Buffalo,NY,,
rochester,Rochester,NY,,
yonkers,Yonkers,NY,,
syracuse,Syracuse,NY,,
albany,Albany,NY,,
new-rochelle,New Rochelle,NY,,
mount-vernon,Mount Vernon,NY,,
schenectady,Schenectady,NY,,
utica,Utica,NY,,
white-plains,White Plains,NY,,
hempstead,Hempstead,NY,,
troy,Troy,NY,,
niagara-falls,Niagara Falls,NY,,
binghamton,Binghamton,NY,,
freeport,Freeport,NY,,
valley-stream,Valley Stream,NY,,
long-beach,Long Beach,NY,,
spring-valley,Spring Valley,NY,,
rome,Rome,NY,,
north-tonawanda,North Tonawanda,NY,,
ithaca,Ithaca,NY,,
poughkeepsie,Poughkeepsie,NY,,
jamestown,Jamestown,NY,,
elmira,Elmira,NY,,
cheektowaga,Cheektowaga,NY,,
lackawanna,Lackawanna,NY,,
west-seneca,West Seneca,NY,,
watertown,Watertown,NY,,
newburgh,Newburgh,NY,,
middletown,Middletown,NY,,
port-chester,Port Chester,NY,,
glen-cove,Glen Cove,NY,,
harrison,Harrison,NY,,
brighton,Brighton,NY,,
irondequoit,Irondequoit,NY,,
greece,Greece,NY,,
tonawanda,Tonawanda,NY,,
lindenhurst,Lindenhurst,NY,,
bay-shore,Bay Shore,NY,,
central-islip,Central Islip,NY,,
brentwood,Brentwood,NY,,
commack,Commack,NY,,
deer-park,Deer Park,NY,,
levittown,Levittown,NY,,
hicksville,Hicksville,NY,,
uniondale,Uniondale,NY,,
west-babylon,West Babylon,NY,,
coram,Coram,NY,,
centereach,Centereach,NY,,
hauppauge,Hauppauge,NY,,
smithtown,Smithtown,NY,,
east-meadow,East Meadow,NY,,
west-islip,West Islip,NY,,
north-babylon,North Babylon,NY,,
massapequa,Massapequa,NY,,
oceanside,Oceanside,NY,,
elmont,Elmont,NY,,
garden-city,Garden City,NY,,
floral-park,Floral Park,NY,,
new-hyde-park,New Hyde Park,NY,,
mineola,Mineola,NY,,
westbury,Westbury,NY,,
great-neck,Great Neck,NY,,
manhasset,Manhasset,NY,,
port-washington,Port Washington,NY,,
wantagh,Wantagh,NY,,
seaford,Seaford,NY,,
plainview,Plainview,NY,,
syosset,Syosset,NY,,
woodbury,Woodbury,NY,,
east-northport,East Northport,NY,,
huntington,Huntington,NY,,
stony-brook,Stony Brook,NY,,
setauket,Setauket,NY,,
port-jefferson,Port Jefferson,NY,,
riverhead,Riverhead,NY,,
east-hampton,East Hampton,NY,,
southampton,Southampton,NY,,
kingston,Kingston,NY,,
goshen,Goshen,NY,,
beacon,Beacon,NY,,
peekskill,Peekskill,NY,,
ossining,Ossining,NY,,
tarrytown,Tarrytown,NY,,
pleasantville,Pleasantville,NY,,
mount-pleasant,Mount Pleasant,NY,,
rye,Rye,NY,,
mamaroneck,Mamaroneck,NY,,
larchmont,Larchmont,NY,,
pelham,Pelham,NY,,
bronxville,Bronxville,NY,,
tuckahoe,Tuckahoe,NY,,
elmsford,Elmsford,NY,,
hastings-on-hudson,Hastings-on-Hudson,NY,,
dobbs-ferry,Dobbs Ferry,NY,,
ardsley,Ardsley,NY,,
saratoga-springs,Saratoga Springs,NY,,
glens-falls,Glens Falls,NY,,
